,Unnamed: 0,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%,Region,Year,3P_Rate,TopTeamThisYear?,best_pts,top_pts_sum,best_ast,top_ast_sum,best_per,top_per_avg,age,Year_Bin,Status,best_pts_scaled,top_pts_sum_scaled,best_ast_scaled,top_ast_sum_scaled
70,17,13.0,Toronto Raptors*,82,243.4,36.5,81.9,0.445,8.7,23.4,0.372,27.8,58.5,0.475,19.6,25.1,0.782,11.4,31.1,42.5,21.2,7.0,4.2,14.1,23.0,101.3,0.585,East,2014,0.2857142857142857,False,22.7,59.99999999999999,7.4,15.1,20.1,18.23,26.0,2012-2014,Playoffs,0.2240868706811451,0.5923000987166831,0.34905660377358494,0.7122641509433962
71,0,30.0,Chicago Bulls*,82,243.0,34.7,80.2,0.432,6.2,17.8,0.348,28.5,62.4,0.456,18.1,23.3,0.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7,0.585,East,2014,0.2219451371571072,False,19.0,49.8,5.4,14.7,20.0,17.93,27.9,2012-2014,Playoffs,0.20277481323372465,0.5314834578441835,0.2378854625550661,0.6475770925110133
73,14,16.0,Washington Wizards*,82,244.6,38.7,84.4,0.459,7.9,20.8,0.38,30.9,63.6,0.485,15.3,20.9,0.731,10.8,31.4,42.2,23.3,8.1,4.6,14.7,20.4,100.7,0.537,East,2014,0.2464454976303317,False,19.3,50.8,8.8,15.000000000000002,19.5,18.5,27.67,2012-2014,Playoffs,0.1916583912611718,0.5044687189672293,0.3776824034334764,0.6437768240343348
74,9,21.0,Brooklyn Nets*,82,242.4,35.7,77.9,0.459,8.6,23.4,0.369,27.1,54.5,0.497,18.4,24.4,0.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5,0.537,East,2014,0.300385109114249,False,20.7,50.8,6.1,12.0,25.4,21.07,29.64,2012-2014,Playoffs,0.21015228426395938,0.515736040609137,0.291866028708134,0.5741626794258373
75,7,23.0,Charlotte Bobcats*,82,242.7,36.3,82.1,0.442,6.3,17.9,0.351,30.0,64.1,0.468,18.0,24.4,0.737,9.5,33.2,42.7,21.7,6.1,5.1,12.3,18.2,96.9,0.524,East,2014,0.2180267965895249,False,21.8,53.5,6.1,14.099999999999998,22.7,18.03,26.0,2012-2014,Playoffs,0.22497420020639836,0.5521155830753354,0.28110599078341014,0.6497695852534562
77,15,14.0,Atlanta Hawks*,82,241.8,37.3,81.6,0.458,9.4,25.8,0.363,28.0,55.8,0.502,17.0,21.7,0.781,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0,0.463,East,2014,0.3161764705882353,False,18.6,53.0,6.7,13.9,22.0,19.63,28.0,2012-2014,Playoffs,0.18415841584158418,0.5247524752475248,0.26907630522088355,0.5582329317269077
90,29,1.0,Golden State Warriors*,82,240.6,41.6,87.0,0.478,10.8,27.0,0.398,30.8,60.0,0.514,16.0,20.8,0.768,10.4,34.3,44.7,27.4,9.3,6.0,14.5,19.9,110.0,0.817,West,2015,0.3103448275862069,True,23.8,57.2,7.7,14.7,28.0,22.77,27.11,2015-2017,Playoffs,0.21636363636363637,0.52,0.281021897810219,0.5364963503649635
91,20,10.0,Atlanta Hawks*,82,240.6,38.1,81.7,0.466,10.0,26.2,0.38,28.1,55.5,0.506,16.5,21.2,0.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5,0.732,East,2015,0.3206854345165238,True,16.7,47.8,7.0,14.3,21.4,20.67,27.45,2015-2017,Playoffs,0.1629268292682927,0.4663414634146341,0.27237354085603116,0.556420233463035
92,24,6.0,Houston Rockets*,82,241.5,37.0,83.3,0.444,11.4,32.7,0.348,25.6,50.6,0.506,18.6,26.0,0.715,11.7,32.0,43.7,22.2,9.5,5.0,16.7,22.0,103.9,0.683,West,2015,0.3925570228091237,True,27.4,56.0,7.0,13.2,26.7,21.4,27.83,2015-2017,Playoffs,0.26371511068334935,0.5389797882579404,0.3153153153153153,0.5945945945945946
93,28,2.0,Los Angeles Clippers*,82,240.6,39.4,83.3,0.473,10.1,26.9,0.376,29.3,56.4,0.519,17.9,25.2,0.71,9.6,33.1,42.6,24.8,7.8,5.0,12.3,21.3,106.7,0.683,West,2015,0.3229291716686674,True,21.9,57.4,10.2,18.0,26.0,23.27,28.25,2015-2017,Playoffs,0.20524835988753512,0.5379568884723523,0.41129032258064513,0.7258064516129032
